ID_FOR;FANTASIA;CNPJ;RESPONSAVEL;INS_MUNICIPAL;INS_ESTADUAL;ENDERECO;BAIRRO;UF;TELEFONE;FAX;EMAIL;CELULAR
302;LAR DAS CONSTRUÇOES;05741515000166;;;271081708;RUA BENJAMIM CONSTANT, 12, UMBAUBA;CENTRO;SE;;;;
90;MACHADO E CAMARGO LTDA;05745686000163;;;;AV. PAULO BARRETO DE MENESES - BOQUIM;CENTRO;SE;;;;
25;LUIZ CARLOS BARRETO SILVA -ME;06.077.957/0001-12;;;27.109.096-0; SIMPLICIANO F. FERNANDESDA FONSECA, 6;CENTRO;;;;;
142;M & N ODONTOMEDICAL COM. EQUI. MÉDICO ODONTO E HOS;06040597000184;;;27.110.274-8;AV DOUTOR EDÉSIO VIEIRA DE MELO Nº 1098;SUIÇA;SE;7932214136;;;
227;CASA DO SERRALHEIRO LTDA;06078207000165;;;;RUA MIZAEL VIEIRA, 335;CENTRO LAGARTO;SE;;;;
126;LITORÂNEA LIVRARIA E PAPELARIA LTDA;06186537000174;;;27.109.400-1;RUA SANTO AMARO Nº 289;CENTRO;SE;7932116323;;;
93;AGONORDESTE COMERCIAL LTDA;06968279000188;;;271102489;RUA ESTANCIA 568  - UMBAUBA;CENTRO;SE;;;;
29;LUIZ CARLOS PNEUS E SERVIÇOS LTDA ME;07.094.639/0001-22;;;; HERMES FONTES , 80;CENTRO;;;;;
35;LUAN MED PRODUTOS HOSPITALARES LTDA;07.369.076/0001-38;;;271115653; ESTRADA DA LUZIA, 185;LUZIA;;;;;
42;NB COMERCIO ATAC. DE ART. ARM. LTDA;07.412.997/0001-36;;;271117664; ESPIRITO SANTO, 766;SIQUEIRA CAMPOS;;;;;
67;victória distribuidora de livros;07040879000144;;;27.110.476-7;rua frei josé da santa cecília  nº 128;siqueira campos;SE;7932590864;;;
117;RFLC QUIKCKARTUCHOS LTDA;07180998000100;;;271109572;RUA CAPITAO SALOMAO 75  ESTANCIA;CENTRO;SE;;;;
92;SODUCATO AUTO PEÇAS E SERVIÇOS;07218392000109;;;271192038;TV AMAPA,  ARACAJU;SIQUEIRA CAMPOS;SE;;;;
187;DIANJU - DISK ATACADISTA LTDA-EPP;07226206000183;;;;AV.DR. JOSÉ DA SILVA RIBEIRO FILHO - 740;AMERICA;SE;;;;
101;ROSELIA DOS SANTOS NASCIMENTO;07241686000151;;;;PÇA PROFESSORA DIVA, 62;CENTRO;SE;;;;
301;SOVALVULAS COM. DE VALV. E SERV. LTDA;07253090000171;;;271112506;AV. OSVALDO ARANHA, 631;NOVO PARAISO;;7931799606;;;
95;JRC  MOTOPEÇAS LTDA ME - ERALDO MOTOS;07279885000159;ERALDO;;27111294-8;AV SANTOS DUMONT 01;CENTRO;SE;7936481214;;;
297;JHS DIESEL TRANSPORTE AUTO PEÇAS ;07328830000191;;;271115726;ROD BR 101, N. S. SOCORRO -SE;PALESTINA;SE;;;;
128;GUEGUÊ MOTOS;07335941000125;;;27.111.751-6;AV: ENGENHEIRO JOEL FONTES COSTA Nº 228 ;CENTRO;SE;7936451464;;;
203;SUPERMERCADO JB LTDA.;07498042000143;;;;PC VENANCIO FERNANDES DA FONSECA, 10;CENTRO;SE;;;;
78;TEXTIL NORDESTE E COM DE CONFECÇÕES LTDA;07581405000100;;;27112500-4;RUA JOSÉ PRIMO Nº 31 GALPÃO- CONJ. ALBAN;CENTRO;AC;7935441349;;;
209;MACÊDO E CRUZ COMERCIO DE EMBALAGENS E FRIOS LTDA.;07588823000129;;;;RUA AULCRO MOTA, 572;CENRO;SE;;;;
53;IMPRESJET IMPRESSORAS & MICROS;07633539000127;RAFAEL;;27.112.308-7;RUA CAPITÃO SALOMÃO , 96 A;CENTRO;SE;7935224203;7935224203;www.impresjet.com.br;7988090857
79;IMMERSION;07716623000104;;;271128933;SITIO ITAPICURU, ITABAIANINHA ;CENTRO;SE;;;;
289;J.E. MATERIAL ELETRICO E CONSTRUÇÃO LTDA;07753014000125;;;271128887;RUA CAPELA, 385;CENTRO;;;;;
206;FERRAMENTAS CIA COMERCIAL LTDA;07767093000123;;;;RUA MARIANO SALMERON;SIQUEIRA CAMPOS;SE;;;;
31;PEMAGRI PEÇAS E MAQUINAS AGRICULAS LTDA;08.489.098/0002-85;;;27.106.784-5; BR 101 KM 92, 214;PARQUE DOS FAROIS;;;;;
258;COMFESEL - COML. DE FERRAGENS SERGIPANA LTDA ME;08109303000159;;;;AVENIDA ROTARY, 360;CENTRO;SE;;;;
189;ALLDOC EQUIPAMENTOS DE INFORMATICA LTDA. EPP;08139775000154;;;;AV. HERMES FONTES - 144;SUISSA;SE;;;;
161;PYAZA INDUSTRIA E COMÉRCIO DE UNIFORMES LTDA-ME;08155583000131;;;27.113.620-0;LARGO MARIO PIRES Nº 70;CENTRO;SE;;;;
138;VIP MED COMÉRCIO DE MATERIAL HOSPITALAR LTDA;08156693000118;;;27.116.433-6;RUA ARAUÁ Nº 805;SÃO JOSÉ;SE;7932146073;;;
